year, ufo_norm_total, ufo_norm_rate, ter_norm_total, ter_norm_rate, fed_norm_total,fed_norm_rate
1970,0.2687466523835029,0,1.0,0,0.0027449324324324326,0
1971,0.6164970540974826,-8.926977325477593e-05,0.04487179487179487,-0.2492283950617284,0.0035895270270270272,0.0011044698544698545
1972,0.7435725763256561,0.0,0.08547008547008547,-0.10432886951105574,0.003800675675675676,0.00022356915739268682
1973,1.0,-6.695232994108195e-05,0.5277777777777778,-0.016647531572904706,0.0033783783783783786,-0.00037537537537537537
1974,0.9193893947509373,0.0,0.12393162393162394,0.12466843501326261,0.0033783783783783786,0.0
1975,0.5034815211569362,0.0002678093197643278,0.22435897435897437,0.1862838697945081,0.0014780405405405406,-0.0008313978040540541
1976,0.4720139260846277,-6.695232994108195e-05,0.09401709401709402,-0.06625365685768371,0.0014780405405405406,0.0
1977,0.4161756829137654,0.0016068559185859668,0.08974358974358974,0.06613756613756613,0.002533783783783784,0.00180984555984556
1978,0.45607927155865025,-0.00010042849491162292,0.11752136752136752,-0.06148915187376726,0.002533783783783784,0.0
1979,0.33985002678093196,0.0002678093197643278,0.12606837606837606,-0.03050397877984085,0.0046452702702702705,0.003871058558558559
1980,0.004418853776111409,0.00020085698982324584,0.14743589743589744,-0.004149634584417193,0.004011824324324324,-0.0005470669533169533
1981,0.35216925549009104,0.0004463488662738796,0.06837606837606838,0.01651996428115831,0.028505067567567568,0.17403093883357043
1982,0.5480717728976968,0.0006427423674343867,0.0641025641025641,0.009009009009009009,0.09058277027027027,0.19726914414414412
1983,0.7473219068023568,0.00033476164970540974,0.07478632478632478,-0.04098181021257944,0.02533783783783784,-0.01825033075033075
1984,0.36301553294054634,-0.00021424745581146223,0.31837606837606836,0.058129370629370625,0.041596283783783786,0.026690948761261265
1985,0.6289501874665239,0.016871987145152652,0.16666666666666666,-0.031203364536697867,0.03420608108108108,-0.006077222527095623
1986,0.4623727905731119,-0.0010228828185443076,0.2777777777777778,0.023557692307692307,0.10663006756756757,0.22576613071404739
1987,0.3690412426352437,0.0025563616886594923,0.1858974358974359,-0.022239665096807956,0.04666385135135135,-0.026242641156007496
1988,0.22576325656132834,0.0025250593006350907,0.20085470085470086,-0.011877828054298642,0.03589527027027027,-0.00828352390852391
1989,0.15974825923942154,-0.0009332749022090211,0.14316239316239315,0.04985754985754986,0.11106418918918919,0.2325814785373609
1990,0.0731119442956615,0.008313732796162177,0.1581196581196581,-0.016280016280016282,0.18222128378378377,0.11674633580824169
1991,0.0723085163363685,-0.001559595450392262,0.1346153846153846,-0.004006410256410256,0.13070101351351351,-0.036953704863612165
1992,0.04030530262453133,0.005550956809660613,0.14316239316239315,0.004558404558404559,0.09712837837837837,-0.02494896956730559
1993,0.034413497589716124,-0.0018088875106888808,0.06837606837606838,0.08446848290598291,0.12373310810810811,0.033892112220916565
1994,0.032003213711837175,0.002869385568903512,0.057692307692307696,0.009168609168609168,0.24493243243243243,0.23991675122221198
1995,0.03615425816818425,0.003993036957686128,0.06623931623931624,-0.03042155584528466,0.0929054054054054,-0.05766542404473439
1996,0.030128548473486876,-0.001584224145084756,0.038461538461538464,0.01221001221001221,0.10029560810810811,0.007978059735872236
1997,0.024638457418318157,-0.00013151350524141098,0.07051282051282051,-0.014903846153846155,0.04222972972972973,-0.02444879089615932
1998,0.04084092126405999,0.0025563616886594928,0.0876068376068376,0.08036945133719328,0.01076858108108108,-0.008022592905405405
1999,0.042983395822174614,-0.0016527660876884229,0.017094017094017096,-0.02709240445089502,0.033361486486486486,0.06999370694223636
2000,0.02276379217996786,0.0029930171199587375,0.11324786324786325,0.024639423076923076,0.04286317567567568,0.012207866489907631
2001,0.009373326191751474,0.002821427763150946,0.07051282051282051,-0.013758599124452783,0.05574324324324324,0.016750432698708562
2002,0.007498660953401178,0.002903296489263281,0.06837606837606838,0.0,0.06904560810810811,0.016476792843980344
2003,0.6292179967862882,0.02449697324938606,0.042735042735042736,-0.013986013986013988,0.059966216216216214,-0.007885465740970328
2004,0.8873861810391002,0.00040768002884916237,0.042735042735042736,0.059829059829059825,0.033783783783783786,-0.014750666159116863
2005,0.0467327262988752,0.0009693390988542988,0.03632478632478633,-0.009157509157509158,0.01076858108108108,-0.007336095861486486
2006,0.028387787895018748,0.004585602975209952,0.023504273504273504,0.005698005698005698,0.09755067567567567,0.7861436804451509
2007,0.00723085163363685,-0.007029994643813605,0.06196581196581197,0.04807692307692308,0.12837837837837837,0.04056979056979057
2008,0.4959828602035351,-0.0014899936699615327,0.01282051282051282,-0.009140550807217474,0.13070101351351351,0.002364656494487909
2009,0.5610605249062668,-0.003147197104158571,0.07264957264957266,0.019813519813519812,0.0789695945945946,-0.031256140025324196
2010,0.036823781467595074,0.008444632582891303,0.1047008547008547,-0.008798391151332328,0.36000844594594594,1.2812065282193958
2011,0.44469737546866633,0.013477897854374745,0.1346153846153846,0.042735042735042736,0.14273648648648649,-0.08614419037806134
2012,0.03401178361006963,0.00519505630663167,0.021367521367521368,0.0,0.12711148648648649,-0.01391457100591716
2013,0.02986073915372255,0.007189949846618299,0.019230769230769232,0.027884615384615386,0.3424831081081081,0.5802869938044357
2014,0.032940546331012316,-0.002035684548987414,0.0811965811965812,0.025198938992042442,0.19383445945945946,-0.08413036958043123
2015,0.02236207820032137,-0.003514009500645376,0.13675213675213677,0.09356725146198831,0.3154560810810811,0.19793322734499205
2016,0.026111408677021962,0.012360467463108295,0.08547008547008547,-0.0021033653846153845,0.29961993243243246,-0.015041161266688377
2017,0.0341456882699518,-0.00894360350101215,0.22846283783783783,-0.054257911452678886
